02. 攝影 (Camera),03. 焦段 (Focal Length),04. 標準鏡（Standard Lens）,-,-
02. 攝影 (Camera),03. 焦段 (Focal Length),05. 中望遠（Medium Telephoto）,-,-
02. 攝影 (Camera),03. 焦段 (Focal Length),06. 望遠（Telephoto）,-,-
02. 攝影 (Camera),03. 焦段 (Focal Length),07. 超望遠（Super Telephoto）,-,-
02. 攝影 (Camera),04. 光圈 (Aperture),01. 小光圈 (Small Aperture),-,-
02. 攝影 (Camera),04. 光圈 (Aperture),02. 中光圈 (Medium Aperture),-,-
02. 攝影 (Camera),04. 光圈 (Aperture),03. 大光圈 (Large Aperture),-,-
02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),01. 正面光 (Front light),-
02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),02. 側光 (Side light),-
02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),03. 逆光／背光 (Backlight),-
02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),04. 頂光 (Top light),-
02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),05. 底光 (Bottom light),-
02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),01. 分割光 (Split lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),02. 林布蘭打光 (Rembrandt lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),03. 蝴蝶光 (Butterfly lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),01. 柔光 (Soft light),-
02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),02. 體積光／耶穌光 (Volumetric light / God rays),-
02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),03. 窗光 (Window light),-
02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),04. 燭光 (Candlelight),-
02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),01. 電影感打光 (Cinematic lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),02. 棚拍光 (Studio lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),03. 霓虹光 (Neon light),-
02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),04. 賽博龐克光 (Cyberpunk lighting),-
02. 攝影 (Camera),05. 打光 (Lighting),05. 自然時間光線 (Time of Day / Natural Light),01. 黃金時刻 (Golden hour),-
02. 攝影 (Camera),05. 打光 (Lighting),05. 自然時間光線 (Time of Day / Natural Light),02. 藍色時刻 (Blue hour),-
02. 攝影 (Camera),05. 打光 (Lighting),06. 打光_自定,-,-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),01. 晴天 (Sunny),-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),02. 多雲 (Cloudy),-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),03. 陰天 (Overcast),-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),04. 薄暮 (Twilight),-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),05. 黎明 (Dawn),-
02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),06. 晴朗天空 (Clear sky),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),01. 小雨 (Light rain),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),02. 大雨 (Heavy rain),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),03. 暴雨 (Rainstorm),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),04. 太陽雨 (Sunshower),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),05. 陣雨 (Showers),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),06. 雷陣雨 (Thunderstorm),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),07. 細雨 (Drizzle),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),08. 傾盆大雨 (Downpour),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),09. 潮濕 (Humid),-
02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),10. 露水 (Dew),-
02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),01. 雪 (Snow),-
02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),02. 暴風雪 (Blizzard),-
