Row ID,總分類,大分類,中分類,小分類,細分類,提示詞內容
提示詞-0001,01. 畫面比例 (Aspect Ratio),01. 1:1 畫面比例 (1:1 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 1:1 畫面比例 (1:1 Aspect Ratio) -  -  -  -  -  - 
提示詞-0002,01. 畫面比例 (Aspect Ratio),02. 2:3 畫面比例 (2:3 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 2:3 畫面比例 (2:3 Aspect Ratio) -  -  -  -  -  - 
提示詞-0003,01. 畫面比例 (Aspect Ratio),03. 3:2 畫面比例 (3:2 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 3:2 畫面比例 (3:2 Aspect Ratio) -  -  -  -  -  - 
提示詞-0004,01. 畫面比例 (Aspect Ratio),04. 3:4 畫面比例 (3:4 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 3:4 畫面比例 (3:4 Aspect Ratio) -  -  -  -  -  - 
提示詞-0005,01. 畫面比例 (Aspect Ratio),05. 4:3 畫面比例 (4:3 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 4:3 畫面比例 (4:3 Aspect Ratio) -  -  -  -  -  - 
提示詞-0006,01. 畫面比例 (Aspect Ratio),06. 9:16 畫面比例 (9:16 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 9:16 畫面比例 (9:16 Aspect Ratio) -  -  -  -  -  - 
提示詞-0007,01. 畫面比例 (Aspect Ratio),07. 16:9 畫面比例 (16:9 Aspect Ratio),-,-,-,畫面比例 (Aspect Ratio) - 16:9 畫面比例 (16:9 Aspect Ratio) -  -  -  -  -  - 
提示詞-0008,01. 畫面比例 (Aspect Ratio),08. 畫面比例_自訂,-,-,-,畫面比例 (Aspect Ratio) - 畫面比例_自訂 -  -  -  -  -  - 
提示詞-0009,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),01. 平視鏡頭 (Eye-level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 平視鏡頭 (Eye-level shot) -  - 
提示詞-0010,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),02. 肩部高度鏡頭 (Shoulder level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 肩部高度鏡頭 (Shoulder level shot) -  - 
提示詞-0011,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),03. 腰部高度鏡頭 (Hip Level Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 腰部高度鏡頭 (Hip Level Shot) -  - 
提示詞-0012,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),04. 膝蓋高度鏡頭 (Knee level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 膝蓋高度鏡頭 (Knee level shot) -  - 
提示詞-0013,02. 攝影 (Camera),01. 視角 (Camera Angle),01. 攝影機高度 (Camera Height),05. 地面高度鏡頭 (Ground level shot),-,攝影 (Camera) - 視角 (Camera Angle) - 攝影機高度 (Camera Height) - 地面高度鏡頭 (Ground level shot) -  - 
提示詞-0014,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),01. 高角度／俯拍鏡頭 (High-angle shot),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 高角度／俯拍鏡頭 (High-angle shot) -  - 
提示詞-0015,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),02. 低角度／仰拍鏡頭 (Low-angle shot),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 低角度／仰拍鏡頭 (Low-angle shot) -  - 
提示詞-0016,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),03. 俯視角度 (Overhead angle),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 俯視角度 (Overhead angle) -  - 
提示詞-0017,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),04. 正上方俯視鏡頭 (Top-down view),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 正上方俯視鏡頭 (Top-down view) -  - 
提示詞-0018,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),05. 鳥瞰視角／俯視鏡頭 (Bird’s-eye view),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 鳥瞰視角／俯視鏡頭 (Bird’s-eye view) -  - 
提示詞-0019,02. 攝影 (Camera),01. 視角 (Camera Angle),02. 垂直視角與角度 (Vertical Angle),06. 蟲視角／極低角度鏡頭 (Worm’s Eye View),-,攝影 (Camera) - 視角 (Camera Angle) - 垂直視角與角度 (Vertical Angle) - 蟲視角／極低角度鏡頭 (Worm’s Eye View) -  - 
提示詞-0020,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),01. 側面角度 (Profile angle),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 側面角度 (Profile angle) -  - 
提示詞-0021,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),02. 側角視角 (Side angle),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 側角視角 (Side angle) -  - 
提示詞-0022,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),03. 三分之四視角 (Three-quarter view),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 三分之四視角 (Three-quarter view) -  - 
提示詞-0023,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),04. 背面視角 (Back view),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 背面視角 (Back view) -  - 
提示詞-0024,02. 攝影 (Camera),01. 視角 (Camera Angle),03. 水平與人物面向視角 (Horizontal Angle),05. 背面鏡頭／背部視角 (Back Shot / Rear Angle View),-,攝影 (Camera) - 視角 (Camera Angle) - 水平與人物面向視角 (Horizontal Angle) - 背面鏡頭／背部視角 (Back Shot / Rear Angle View) -  - 
提示詞-0025,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),01. 傾斜鏡頭 (Dutch angle),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 傾斜鏡頭 (Dutch angle) -  - 
提示詞-0026,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),02. 斜角視角 (Oblique angle),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 斜角視角 (Oblique angle) -  - 
提示詞-0027,02. 攝影 (Camera),01. 視角 (Camera Angle),04. 特殊構圖與視角 (Special Composition),03. 第一人稱視角 (POV (Point-of-View) Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 特殊構圖與視角 (Special Composition) - 第一人稱視角 (POV (Point-of-View) Shot) -  - 
提示詞-0028,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),01. 情境照 (Establishing Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 情境照 (Establishing Shot) -  - 
提示詞-0029,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),02. 用圖說故事／敘事鏡頭 (Narrative Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 用圖說故事／敘事鏡頭 (Narrative Shot) -  - 
提示詞-0030,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),03. 過肩鏡頭 (Over-The-Shoulder Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 過肩鏡頭 (Over-The-Shoulder Shot) -  - 
提示詞-0031,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),04. 跟隨鏡頭 (Follow Shot),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 跟隨鏡頭 (Follow Shot) -  - 
提示詞-0032,02. 攝影 (Camera),01. 視角 (Camera Angle),05. 敘事與功能性鏡頭 (Narrative & Functional),05. 自拍照 (Selfie),-,攝影 (Camera) - 視角 (Camera Angle) - 敘事與功能性鏡頭 (Narrative & Functional) - 自拍照 (Selfie) -  - 
提示詞-0033,02. 攝影 (Camera),01. 視角 (Camera Angle),06. 視角_自定,-,-,攝影 (Camera) - 視角 (Camera Angle) - 視角_自定 -  -  -  - 
提示詞-0034,02. 攝影 (Camera),02. 景別 (Camera Shot Size),01. 極遠景（Extreme long shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 極遠景（Extreme long shot） -  -  -  - 
提示詞-0035,02. 攝影 (Camera),02. 景別 (Camera Shot Size),02. 遠景（Long shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 遠景（Long shot） -  -  -  - 
提示詞-0036,02. 攝影 (Camera),02. 景別 (Camera Shot Size),03. 全身鏡頭（Full shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 全身鏡頭（Full shot） -  -  -  - 
提示詞-0037,02. 攝影 (Camera),02. 景別 (Camera Shot Size),04. 中遠景（Medium wide shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中遠景（Medium wide shot） -  -  -  - 
提示詞-0038,02. 攝影 (Camera),02. 景別 (Camera Shot Size),05. 牛仔鏡頭（Cowboy shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 牛仔鏡頭（Cowboy shot） -  -  -  - 
提示詞-0039,02. 攝影 (Camera),02. 景別 (Camera Shot Size),06. 中鏡頭 (Medium Shot),-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中鏡頭 (Medium Shot) -  -  -  - 
提示詞-0040,02. 攝影 (Camera),02. 景別 (Camera Shot Size),07. 中近景（Medium close-up shot）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 中近景（Medium close-up shot） -  -  -  - 
提示詞-0041,02. 攝影 (Camera),02. 景別 (Camera Shot Size),08. 特寫鏡頭（Close-up）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 特寫鏡頭（Close-up） -  -  -  - 
提示詞-0042,02. 攝影 (Camera),02. 景別 (Camera Shot Size),09. 極特寫鏡頭（Extreme close-up）,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 極特寫鏡頭（Extreme close-up） -  -  -  - 
提示詞-0043,02. 攝影 (Camera),02. 景別 (Camera Shot Size),10. 景別_自定,-,-,攝影 (Camera) - 景別 (Camera Shot Size) - 景別_自定 -  -  -  - 
提示詞-0044,02. 攝影 (Camera),03. 焦段 (Focal Length),01. 超廣角（Ultra Wide Angle）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 超廣角（Ultra Wide Angle） -  -  -  - 
提示詞-0045,02. 攝影 (Camera),03. 焦段 (Focal Length),02. 廣角（Wide Angle）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 廣角（Wide Angle） -  -  -  - 
提示詞-0046,02. 攝影 (Camera),03. 焦段 (Focal Length),03. 半廣角（Semi-wide / Moderate Wide）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 半廣角（Semi-wide / Moderate Wide） -  -  -  - 
提示詞-0047,02. 攝影 (Camera),03. 焦段 (Focal Length),04. 標準鏡（Standard Lens）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 標準鏡（Standard Lens） -  -  -  - 
提示詞-0048,02. 攝影 (Camera),03. 焦段 (Focal Length),05. 中望遠（Medium Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 中望遠（Medium Telephoto） -  -  -  - 
提示詞-0049,02. 攝影 (Camera),03. 焦段 (Focal Length),06. 望遠（Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 望遠（Telephoto） -  -  -  - 
提示詞-0050,02. 攝影 (Camera),03. 焦段 (Focal Length),07. 超望遠（Super Telephoto）,-,-,攝影 (Camera) - 焦段 (Focal Length) - 超望遠（Super Telephoto） -  -  -  - 
提示詞-0051,02. 攝影 (Camera),04. 光圈 (Aperture),01. 小光圈 (Small Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 小光圈 (Small Aperture) -  -  -  - 
提示詞-0052,02. 攝影 (Camera),04. 光圈 (Aperture),02. 中光圈 (Medium Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 中光圈 (Medium Aperture) -  -  -  - 
提示詞-0053,02. 攝影 (Camera),04. 光圈 (Aperture),03. 大光圈 (Large Aperture),-,-,攝影 (Camera) - 光圈 (Aperture) - 大光圈 (Large Aperture) -  -  -  - 
提示詞-0054,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),01. 正面光 (Front light),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 正面光 (Front light) -  - 
提示詞-0055,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),02. 側光 (Side light),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 側光 (Side light) -  - 
提示詞-0056,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),03. 逆光／背光 (Backlight),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 逆光／背光 (Backlight) -  - 
提示詞-0057,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),04. 頂光 (Top light),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 頂光 (Top light) -  - 
提示詞-0058,02. 攝影 (Camera),05. 打光 (Lighting),01. 光線方向 (Lighting Direction),05. 底光 (Bottom light),-,攝影 (Camera) - 打光 (Lighting) - 光線方向 (Lighting Direction) - 底光 (Bottom light) -  - 
提示詞-0059,02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),01. 分割光 (Split lighting),-,攝影 (Camera) - 打光 (Lighting) - 人像與經典佈光 (Portrait & Classic Lighting) - 分割光 (Split lighting) -  - 
提示詞-0060,02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),02. 林布蘭打光 (Rembrandt lighting),-,攝影 (Camera) - 打光 (Lighting) - 人像與經典佈光 (Portrait & Classic Lighting) - 林布蘭打光 (Rembrandt lighting) -  - 
提示詞-0061,02. 攝影 (Camera),05. 打光 (Lighting),02. 人像與經典佈光 (Portrait & Classic Lighting),03. 蝴蝶光 (Butterfly lighting),-,攝影 (Camera) - 打光 (Lighting) - 人像與經典佈光 (Portrait & Classic Lighting) - 蝴蝶光 (Butterfly lighting) -  - 
提示詞-0062,02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),01. 柔光 (Soft light),-,攝影 (Camera) - 打光 (Lighting) - 光線質感與類型 (Lighting Quality & Type) - 柔光 (Soft light) -  - 
提示詞-0063,02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),02. 體積光／耶穌光 (Volumetric light / God rays),-,攝影 (Camera) - 打光 (Lighting) - 光線質感與類型 (Lighting Quality & Type) - 體積光／耶穌光 (Volumetric light / God rays) -  - 
提示詞-0064,02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),03. 窗光 (Window light),-,攝影 (Camera) - 打光 (Lighting) - 光線質感與類型 (Lighting Quality & Type) - 窗光 (Window light) -  - 
提示詞-0065,02. 攝影 (Camera),05. 打光 (Lighting),03. 光線質感與類型 (Lighting Quality & Type),04. 燭光 (Candlelight),-,攝影 (Camera) - 打光 (Lighting) - 光線質感與類型 (Lighting Quality & Type) - 燭光 (Candlelight) -  - 
提示詞-0066,02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),01. 電影感打光 (Cinematic lighting),-,攝影 (Camera) - 打光 (Lighting) - 風格與場景打光 (Style & Environment Lighting) - 電影感打光 (Cinematic lighting) -  - 
提示詞-0067,02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),02. 棚拍光 (Studio lighting),-,攝影 (Camera) - 打光 (Lighting) - 風格與場景打光 (Style & Environment Lighting) - 棚拍光 (Studio lighting) -  - 
提示詞-0068,02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),03. 霓虹光 (Neon light),-,攝影 (Camera) - 打光 (Lighting) - 風格與場景打光 (Style & Environment Lighting) - 霓虹光 (Neon light) -  - 
提示詞-0069,02. 攝影 (Camera),05. 打光 (Lighting),04. 風格與場景打光 (Style & Environment Lighting),04. 賽博龐克光 (Cyberpunk lighting),-,攝影 (Camera) - 打光 (Lighting) - 風格與場景打光 (Style & Environment Lighting) - 賽博龐克光 (Cyberpunk lighting) -  - 
提示詞-0070,02. 攝影 (Camera),05. 打光 (Lighting),05. 自然時間光線 (Time of Day / Natural Light),01. 黃金時刻 (Golden hour),-,攝影 (Camera) - 打光 (Lighting) - 自然時間光線 (Time of Day / Natural Light) - 黃金時刻 (Golden hour) -  - 
提示詞-0071,02. 攝影 (Camera),05. 打光 (Lighting),05. 自然時間光線 (Time of Day / Natural Light),02. 藍色時刻 (Blue hour),-,攝影 (Camera) - 打光 (Lighting) - 自然時間光線 (Time of Day / Natural Light) - 藍色時刻 (Blue hour) -  - 
提示詞-0072,02. 攝影 (Camera),05. 打光 (Lighting),06. 打光_自定,-,-,攝影 (Camera) - 打光 (Lighting) - 打光_自定 -  -  -  - 
提示詞-0073,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),01. 晴天 (Sunny),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 晴天 (Sunny) -  - 
提示詞-0074,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),02. 多雲 (Cloudy),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 多雲 (Cloudy) -  - 
提示詞-0075,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),03. 陰天 (Overcast),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 陰天 (Overcast) -  - 
提示詞-0076,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),04. 薄暮 (Twilight),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 薄暮 (Twilight) -  - 
提示詞-0077,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),05. 黎明 (Dawn),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 黎明 (Dawn) -  - 
提示詞-0078,02. 攝影 (Camera),06. 天氣 (Weather),01. 基礎天氣 (Basic Weather),06. 晴朗天空 (Clear sky),-,攝影 (Camera) - 天氣 (Weather) - 基礎天氣 (Basic Weather) - 晴朗天空 (Clear sky) -  - 
提示詞-0079,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),01. 小雨 (Light rain),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 小雨 (Light rain) -  - 
提示詞-0080,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),02. 大雨 (Heavy rain),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 大雨 (Heavy rain) -  - 
提示詞-0081,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),03. 暴雨 (Rainstorm),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 暴雨 (Rainstorm) -  - 
提示詞-0082,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),04. 太陽雨 (Sunshower),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 太陽雨 (Sunshower) -  - 
提示詞-0083,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),05. 陣雨 (Showers),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 陣雨 (Showers) -  - 
提示詞-0084,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),06. 雷陣雨 (Thunderstorm),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 雷陣雨 (Thunderstorm) -  - 
提示詞-0085,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),07. 細雨 (Drizzle),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 細雨 (Drizzle) -  - 
提示詞-0086,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),08. 傾盆大雨 (Downpour),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 傾盆大雨 (Downpour) -  - 
提示詞-0087,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),09. 潮濕 (Humid),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 潮濕 (Humid) -  - 
提示詞-0088,02. 攝影 (Camera),06. 天氣 (Weather),02. 降水與濕度 (Precipitation & Humidity),10. 露水 (Dew),-,攝影 (Camera) - 天氣 (Weather) - 降水與濕度 (Precipitation & Humidity) - 露水 (Dew) -  - 
提示詞-0089,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),01. 雪 (Snow),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 雪 (Snow) -  - 
提示詞-0090,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),02. 暴風雪 (Blizzard),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 暴風雪 (Blizzard) -  - 
提示詞-0091,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),03. 雨夾雪 (Sleet),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 雨夾雪 (Sleet) -  - 
提示詞-0092,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),04. 冰雹 (Hail),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 冰雹 (Hail) -  - 
提示詞-0093,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),05. 霜 (Frost),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 霜 (Frost) -  - 
提示詞-0094,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),06. 冰封 (Icy),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 冰封 (Icy) -  - 
提示詞-0095,02. 攝影 (Camera),06. 天氣 (Weather),03. 冰雪與低溫 (Ice & Cold),07. 閃閃發光的雪 (Sparkling snow),-,攝影 (Camera) - 天氣 (Weather) - 冰雪與低溫 (Ice & Cold) - 閃閃發光的雪 (Sparkling snow) -  - 
提示詞-0096,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),01. 霧 (Mist),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 霧 (Mist) -  - 
提示詞-0097,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),02. 濃霧 (Fog),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 濃霧 (Fog) -  - 
提示詞-0098,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),03. 霾 (Haze),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 霾 (Haze) -  - 
提示詞-0099,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),04. 煙霧 (Smog),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 煙霧 (Smog) -  - 
提示詞-0100,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),05. 沙塵暴 (Sandstorm),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 沙塵暴 (Sandstorm) -  - 
提示詞-0101,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),06. 雲隙光 (Crepuscular rays),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 雲隙光 (Crepuscular rays) -  - 
提示詞-0102,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),07. 太陽光束 (Sunbeams),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 太陽光束 (Sunbeams) -  - 
提示詞-0103,02. 攝影 (Camera),06. 天氣 (Weather),04. 大氣與能見度 (Atmosphere & Visibility),08. 霧氣繚繞 (Misty),-,攝影 (Camera) - 天氣 (Weather) - 大氣與能見度 (Atmosphere & Visibility) - 霧氣繚繞 (Misty) -  - 
提示詞-0104,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),01. 暴風雨 (Storm),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 暴風雨 (Storm) -  - 
提示詞-0105,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),02. 閃電 (Lightning),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 閃電 (Lightning) -  - 
提示詞-0106,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),03. 龍捲風 (Tornado),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 龍捲風 (Tornado) -  - 
提示詞-0107,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),04. 颶風 (Hurricane),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 颶風 (Hurricane) -  - 
提示詞-0108,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),05. 颱風 (Typhoon),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 颱風 (Typhoon) -  - 
提示詞-0109,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),06. 微風 (Breeze),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 微風 (Breeze) -  - 
提示詞-0110,02. 攝影 (Camera),06. 天氣 (Weather),05. 風與極端天氣 (Wind & Extreme),07. 強風 (Gale),-,攝影 (Camera) - 天氣 (Weather) - 風與極端天氣 (Wind & Extreme) - 強風 (Gale) -  - 
